Amplitude (dB),Duration (ms),Rise Time (ms),Counts,Energy (a.u.),Peak Frequency (kHz),RMS Voltage (V),Signal Attenuation (dB/m),Class Label
5.455537804115272,5,0.5,5,27.27768902057636,55.0,0.5455537804115271,0.1,0
77.59749265909862,5,0.5,5,387.9874632954931,55.0,7.759749265909862,0.1,0
98.72907284043644,5,0.5,5,493.64536420218224,55.0,9.872907284043645,0.1,0
100.48575545864055,5,0.5,5,502.42877729320276,55.0,10.048575545864056,0.1,0
59.996466417775366,5,0.5,5,299.98233208887683,55.0,5.999646641777536,0.1,0
2.0709226074283746,5,0.5,5,10.354613037141874,55.0,0.20709226074283746,0.39389807297069174,0
45.401802723157694,5,0.5,5,227.00901361578846,55.0,4.540180272315769,0.26415219006958357,0
97.88287073445535,5,0.5,5,489.4143536722768,55.0,9.788287073445535,0.1,0
109.35892686703677,5,0.5,5,546.7946343351839,55.0,10.935892686703678,0.1,0
49.17741380065208,5,0.5,5,245.88706900326042,55.0,4.917741380065208,0.6552049005102388,0
6.226138222269591,5,0.5,5,31.130691111347954,55.0,0.622613822226959,0.1,0
60.97319542560221,5,0.5,5,304.8659771280111,55.0,6.097319542560221,0.1,0
100.26923028432218,5,0.5,5,501.3461514216109,55.0,10.026923028432218,0.3720776521568192,0
90.87966023585068,5,0.5,5,454.3983011792534,55.0,9.087966023585068,0.1,0
57.55024303525849,5,0.5,5,287.7512151762925,55.0,5.755024303525849,0.1,0
3.2056233038528537,5,0.5,5,16.02811651926427,55.0,0.32056233038528537,0.2883062077877053,0
66.31125436031611,5,0.5,5,331.5562718015806,55.0,6.631125436031612,0.24492849677002676,0
83.85355603646505,5,0.5,5,419.2677801823253,55.0,8.385355603646506,0.38739430896039434,0
108.50349062166087,5,0.5,5,542.5174531083044,55.0,10.850349062166087,0.4488690474394582,0
33.21757945392419,5,0.5,5,166.08789726962095,55.0,3.321757945392419,0.1,0
11.29166666407862,5,0.5,5,56.4583333203931,55.0,1.1291666664078621,0.1,0
43.11719702405702,5,0.5,5,215.5859851202851,55.0,4.311719702405702,0.33704345388923573,0
93.68341154654257,5,0.5,5,468.41705773271286,55.0,9.368341154654257,0.1,0
92.48550615187193,5,0.5,5,462.4275307593597,55.0,9.248550615187193,0.1,0
60.22609901719783,5,0.5,5,301.13049508598914,55.0,6.022609901719783,0.1,0
13.041151279255587,5,0.5,5,65.20575639627793,55.0,1.3041151279255587,0.1,0
61.074865766140576,5,0.5,5,305.3743288307029,55.0,6.107486576614058,0.1,0
97.31225764556496,5,0.5,5,486.5612882278248,55.0,9.731225764556495,0.240439879950436,0
101.33347727608626,5,0.5,5,506.66738638043125,55.0,10.133347727608626,0.20116935901028832,0
64.5533547667076,5,0.5,5,322.76677383353797,55.0,6.45533547667076,0.1,0
12.964614287500506,5,0.5,5,64.82307143750253,55.0,1.2964614287500507,0.3562664864834142,0
44.92502712973037,5,0.5,5,224.62513564865185,55.0,4.492502712973037,0.1,0
101.05203272152332,5,0.5,5,505.2601636076166,55.0,10.105203272152332,0.4560319303179033,0
101.71500090383138,5,0.5,5,508.5750045191569,55.0,10.171500090383137,0.1,0
53.07663762789926,5,0.5,5,265.38318813949627,55.0,5.307663762789926,0.1,0
3.881888981252853,5,0.5,5,19.409444906264266,55.0,0.38818889812528534,0.41376865338916774,0
50.74918271588687,5,0.5,5,253.74591357943433,55.0,5.074918271588687,0.4310975696912874,0
103.4901222127349,5,0.5,5,517.4506110636745,55.0,10.34901222127349,0.1,0
99.53531077074105,5,0.5,5,497.67655385370523,55.0,9.953531077074105,0.2892921497919173,0
59.691255970851074,5,0.5,5,298.4562798542554,55.0,5.969125597085108,0.23725886234080418,0
16.687748304735717,5,0.5,5,83.43874152367859,55.0,1.6687748304735717,0.1,0
75.79787766479623,5,0.5,5,378.9893883239812,55.0,7.579787766479623,0.1,0
82.6472458811176,5,0.5,5,413.236229405588,55.0,8.26472458811176,0.41602983938989935,0
103.35637582798594,5,0.5,5,516.7818791399297,55.0,10.335637582798594,0.1,0
62.39753080222885,5,0.5,5,311.98765401114423,55.0,6.239753080222885,0.40088564212606154,0
9.872780408533028,5,0.5,5,49.363902042665146,55.0,0.9872780408533028,0.4556942817757527,0
59.51217520418103,5,0.5,5,297.56087602090514,55.0,5.951217520418103,0.1,0
97.20946140226427,5,0.5,5,486.0473070113213,55.0,9.720946140226427,0.36805104352129187,0
81.6132854994362,5,0.5,5,408.066427497181,55.0,8.16132854994362,0.1,0
46.6892897599913,5,0.5,5,233.4464487999565,55.0,4.66892897599913,0.1,0
28.74060275177539,5,0.5,5,143.70301375887695,55.0,2.874060275177539,0.1,0
73.43613779576981,5,0.5,5,367.18068897884905,55.0,7.343613779576981,0.1,0
98.45921642081889,5,0.5,5,492.29608210409447,55.0,9.845921642081889,0.1687954743240577,0
81.09220376655159,5,0.5,5,405.461018832758,55.0,8.10922037665516,0.1,0
47.33690820887252,5,0.5,5,236.68454104436262,55.0,4.733690820887253,0.36511374795650536,0
21.279369926046815,5,0.5,5,106.39684963023407,55.0,2.1279369926046816,0.5400539892427666,0
66.48295276302927,5,0.5,5,332.4147638151464,55.0,6.648295276302927,0.1,0
87.81609544666806,5,0.5,5,439.0804772333403,55.0,8.781609544666805,0.22928576793084363,0
92.63407405898234,5,0.5,5,463.17037029491166,55.0,9.263407405898233,0.1,0
42.39447306509952,5,0.5,5,211.9723653254976,55.0,4.239447306509952,0.15951818144672697,0
10.923484736971368,5,0.5,5,54.61742368485684,55.0,1.0923484736971367,0.1,0
60.78213264137512,5,0.5,5,303.9106632068756,55.0,6.078213264137512,0.1,0
98.10220985264084,5,0.5,5,490.5110492632042,55.0,9.810220985264085,0.19766247792153926,0
97.07877543696901,5,0.5,5,485.39387718484505,55.0,9.7078775436969,0.20212987025736256,0
53.46752015532918,5,0.5,5,267.3376007766459,55.0,5.3467520155329185,0.1,0
6.668533203262472,5,0.5,5,33.34266601631236,55.0,0.6668533203262472,0.1,0
72.98171077723595,5,0.5,5,364.90855388617973,55.0,7.298171077723595,0.1,0
101.70105416156252,5,0.5,5,508.5052708078126,55.0,10.170105416156252,0.1,0
69.52998516063873,5,0.5,5,347.64992580319364,55.0,6.952998516063873,0.1,0
39.25211759323757,5,0.5,5,196.26058796618787,55.0,3.925211759323757,0.1,0
5.9357294318187686,5,0.5,5,29.678647159093842,55.0,0.5935729431818768,0.1,0
42.09708636227511,5,0.5,5,210.48543181137552,55.0,4.209708636227511,0.31708330455245115,0
98.27468945755572,5,0.5,5,491.3734472877786,55.0,9.827468945755573,0.1,0
100.80245554598932,5,0.5,5,504.0122777299466,55.0,10.080245554598932,0.5164739302910326,0
45.796817703314595,5,0.5,5,228.98408851657297,55.0,4.57968177033146,0.1,0
